LGA,Apartment Type,Average Rent (?),Number of Registered Businesses
Agege,1,"370,000",38
Agege,2,"640,000",38
Agege,3,"800,000",38
Ajeromi/Ifelodun,1,Null,16
Alimosho,1,"300,000",74
Alimosho,2,"550,000",74
Alimosho,3,"740,000",74
Agbado/Oke-Odo,1,Null,129
Ipaja,1,Null,819
Igando-Ikotun,1,Null,55
Amuwo Odofin,1,"500,000",31
Amuwo Odofin,2,"1,000,000",31
Amuwo Odofin,3,"1,400,000",31
Apapa,1,"960,000",90
Apapa,2,"1,300,000",90
Apapa,3,"2,000,000",90
Badagry,1,"100,000",0
Badagry,2,"400,000",0
Badagry,3,"900,000",0
Epe,1,"200,000",0
Epe,2,"400,000",0
Epe,3,"2,000,000",0
Eti-Osa,1,"1,160,000",383
Eti-Osa,2,"3,100,000",383
Eti-Osa,3,"4,700,000",383
Ikorodu,1,"200,000",62
Ikorodu,2,"400,000",62
Ikorodu,3,"1,000,000",62
Ikeja,1,"610,000",0
Ikeja,2,"1,300,000",0
Ikeja,3,"1,900,000",0
Kosofe,1,"600,000",117
Kosofe,2,"1,200,000",117
Kosofe,3,"2,000,000",117
Mushin,1,"500,000",144
Mushin,2,"1,100,000",144
Mushin,3,"1,700,000",144
Isolo,1,"500,000",0
Isolo,2,"800,000",0
Isolo,3,"1,000,000",0
Somolu,1,"600,000",213
Somolu,2,"1,100,000",213
Somolu,3,"1,700,000",213
Surulere,1,"600,000",618
Surulere,2,"1,100,000",618
Surulere,3,"2,000,000",618
,,,
,,,
,,,
,,,
,,,
